season,age,pos,per,x3p_ar
2026,26,C,13.3,0.173
2026,28,C,17.4,0.35
2026,25,SG,4.8,0.347
2026,25,PF,17.6,0.403
2026,27,SG,15.9,0.477
2026,22,SG,14,0.25
2026,30,SG,17.5,0.658
2026,27,C,20,0.028
2026,27,PG,12,0.647
2026,32,SF,14.6,0.028
2026,31,PF,36.1,0.079
2026,25,PG,11.4,0.294
2026,28,PF,16.4,0.537
2026,25,SF,20.9,0.402
2026,26,PF,19.5,0.087
2026,19,SF,12,0.451
2026,24,PG,17.2,0.491
2026,28,PG,9.1,0.833
2026,23,PF,18.9,0.247
2026,27,SG,14.6,0.332
2026,22,PF,12.4,0.317
2026,33,PF,12.9,0.6
2026,24,PF,21,0.223
2026,23,SG,9.3,0.118
2026,25,SF,17.6,0.367
2026,24,SF,14.9,0.613
2026,37,PF,7.9,0.932
2026,32,SG,5.1,0.396
2026,26,SF,16,0.509
2026,26,C,20.6,0.109
2026,22,PG,12.8,0.352
2026,33,SG,9.4,0.627
2026,22,C,10.3,0.1
2026,29,SG,18.9,0.317
2026,33,PF,7.7,0.545
2026,26,PG,18.8,0.55
2026,28,C,13.5,0.016
2026,22,SG,15.7,0.5
2026,24,SG,12.7,0.289
2026,23,SG,18.5,0.667
2026,29,SF,18.8,0.447
2026,27,PF,17.4,0.469
2026,30,SF,15.4,0.447
2026,23,PF,8.3,0.143
2026,29,SG,8.5,0.289
2026,29,SF,22.3,0.274
2026,26,PF,8.6,0.658
2026,29,PG,21.9,0.353
2026,20,PF,3.2,0.553
2026,28,C,10.3,0.5
2026,36,SF,24.7,0.174
2026,21,PF,12.1,0.43
2026,26,SF,5.7,0.625
2026,32,SG,9.4,0.51
2026,25,PF,9.6,0.628
2026,24,C,2.6,0.167
2026,26,C,15.9,0.488
2026,20,PG,5.6,0.483
2026,23,PG,6.9,0.524
2026,30,PG,13.4,0.83
2026,26,C,14.5,0.368
2026,31,SG,12.6,0.64
2026,21,PG,17.6,0.323
2026,24,SF,13.3,0.395
2026,24,SF,12.3,0.734
2026,20,SG,13.4,0.489
2026,22,SG,11.7,0.644
2026,21,SF,5.8,0.559
2026,24,SG,9.7,0.492
2026,33,SG,12.7,0.491
2026,26,C,18.7,0.046
2026,22,PG,9.9,0.544
2026,23,SG,7.1,0.467
2026,21,C,19.8,0.362
2026,21,PF,10.7,0.712
2026,28,SG,6.4,0.435
2026,21,PG,11.8,0.186
2026,28,PF,12.3,0.295
2026,38,PG,11.7,0.687
2026,33,SG,15.5,0.649
2026,26,SG,0.6,0.4
2026,24,PG,-9.7,1
2026,21,SG,10.6,0.442
2026,22,SG,14.7,0.457
2026,24,PG,21.9,0.288
2026,37,PG,22.8,0.619
2026,20,SG,3.6,0.5
2026,22,SG,13.3,0.149
2026,24,SF,14.6,0.526
2026,32,PF,23.1,0.141
2026,23,PG,16.2,0.583
2026,19,PG,11,0.709
2026,24,PG,6.7,0.528
2026,36,PF,16.7,0.159
2026,20,SF,5.6,0.6
2026,22,SG,10.7,0.571
2026,22,C,6.9,0.488
2026,21,PG,8.1,0.229
2026,29,SG,14.2,0.761
2026,26,PG,29.6,0.485
2026,26,SF,7.9,0.7
2026,26,SG,16.5,0.376
2026,32,C,17.5,0.228
2026,31,PG,10.9,0.403
2026,23,SF,13.9,0.416
2026,37,SF,19.1,0.277
2026,24,PF,16.2,0.558
2026,23,C,23.6,0.045
2026,20,SG,11.6,0.387
2026,24,SG,24,0.431
2026,22,SF,9.3,0.624
2026,26,SG,10.6,0.714
2026,31,C,22,0.307
2026,19,PF,-11.9,0.667
2026,26,PG,-1.6,0.867
2026,28,C,12.5,0.024
2026,19,PG,13.9,0.274
2026,22,C,12.8,0.379
2026,19,PG,14,0.269
2026,21,PF,7.9,0.591
2026,30,SF,13,0.718
2026,28,PG,21.1,0.358
2026,21,SG,4.9,0.5
2026,24,SF,23,1
2026,26,PG,12.7,0.443
2026,27,C,18.8,0.362
2026,22,PG,16.7,0.408
2026,22,SF,13.7,0.458
2026,35,PF,19.5,0.5
2026,23,PG,20.5,0.306
2026,27,PG,33.1,0.259
2026,33,PF,23.3,0.2
2026,26,PG,16.9,0.66
2026,19,SF,8.8,0.371
2026,27,PG,15.2,0.459
2026,30,PF,20.5,0.409
2026,37,SG,15.8,0.667
2026,31,PF,16.5,0.45
2026,26,SG,11.6,0.922
2026,35,PF,8.3,0.594
2026,32,SG,10.8,0.495
2026,23,SG,29.1,0.609
2026,39,PF,13.9,0.769
2026,25,SG,13.8,0.53
2026,23,PF,13.3,0.429
2026,27,PF,12.4,0.402
2026,23,C,19,0.333
2026,33,SG,13.6,0.671
2026,36,PG,24.1,0.56
2026,23,SG,8.5,0.625
2026,25,SG,7.4,0.636
2026,19,SG,18.7,0.209
2026,25,SF,21.5,0.857
2026,31,SG,9.7,0.519
2026,33,PF,14.8,0.407
2026,27,C,21.1,0.027
2026,30,SF,16.8,0.426
2026,28,PF,9.2,0.86
2026,23,SG,6.3,0.551
2026,25,C,15.3,0.019
2026,31,SF,3,0.379
2026,22,PF,9.9,0.455
2026,22,PG,-12.1,0.667
2026,26,SG,25,0.36
2026,33,SG,9.7,0.664
2026,29,PG,14.6,0.704
2026,35,PG,17,0.512
2026,20,SF,9.8,0.379
2026,23,PF,24.7,1
2026,23,PF,19.6,0.325
2026,39,C,9.2,0.714
2026,23,SF,11.8,0.727
2026,22,SF,15.5,0.647
2026,27,SF,14,0.492
2026,27,C,14.8,0.683
2026,28,SF,14.8,0.518
2026,25,PG,12.5,0.61
2026,23,PF,11,0.013
2026,38,SF,5.2,1
2026,28,SF,15.4,0.273
2026,23,SF,20.7,0.333
2026,28,PF,12.4,0.523
2026,23,SG,13.1,0.438
2026,24,SG,7.9,0.571
2026,21,PF,5.1,0.429
2026,26,C,14.1,0.352
2026,27,PG,21.1,0.324
2026,21,SG,6,0.429
2026,41,SF,17.9,0.34
2026,23,SG,8.4,0.604
2026,24,SF,16.6,0.138
2026,24,PG,17.5,0.311
2026,26,SG,15.9,0.79
2026,21,SG,-0.5,0.25
2026,29,SF,11.4,0.507
2026,24,SF,22.7,0.246
2026,26,SF,20.4,0.307
2026,24,SF,9.2,0.455
2026,19,SG,10,0.521
2026,30,C,36.1,0.277
2026,23,SG,13.1,0.667
2026,24,SG,-23.1,1
2026,24,SF,21.7,0.105
2026,28,SF,14.7,0.5
2026,27,SF,8,0.489
2026,25,PF,7.2,0.5
2026,25,PF,5.5,0.5
2026,25,PF,34.6,0.5
2026,24,SF,7.3,0.606
2026,26,PG,17,0.169
2026,29,PG,6.7,0.577
2026,22,PF,9.4,0.486
2026,24,SG,4.6,0.778
2026,24,C,18.1,0.011
2026,23,PG,2.7,0.5
2026,29,SG,11,0.604
2026,24,C,20.7,0.216
2026,26,SF,14.2,0.65
2026,34,PF,5.6,0.6
2026,22,SF,4.2,0.524
2026,24,SF,10.4,0.557
2026,20,SF,14.9,0.619
2026,24,PG,11.2,0.478
2026,29,SG,11.9,0.585
2026,25,PG,13.1,0.773
2026,23,PF,12.6,0.292
2026,30,PF,15.3,0.291
2026,30,C,15.8,0.314
2026,24,SG,10.3,0.9
2026,24,PF,12.1,0.418
2026,24,SG,12.3,0.459
2026,30,SG,14.2,0.467
2026,34,SF,25.4,0.318
2026,31,SG,13.8,0.455
2026,25,PF,11.8,0.667
2026,27,PF,8,0.828
2026,22,SF,18.4,0.4
2026,29,C,12.4,0.219
2026,37,C,10,0.681
2026,24,SG,8.2,0.619
2026,37,PF,14.5,0.767
2026,39,PG,17.6,1
2026,19,C,4.3,0.375
2026,26,C,18.6,0.371
2026,29,SG,11.2,0.401
2026,24,PG,7.5,0.511
2026,24,SG,-0.6,1
2026,28,PF,21.1,0.442
2026,28,SF,15.1,0.389
2026,30,SF,4.4,0.355
2026,30,SF,3.1,0.5
2026,26,SG,12.6,0.556
2026,23,SG,29.2,1
2026,29,SG,-0.2,1
2026,23,SF,14.9,0.428
2026,24,PF,17.8,0.243
2026,25,PG,23.3,0.424
2026,25,SG,12.6,0.655
2026,21,SG,7.6,0.479
2026,27,SG,13.3,0.556
2026,34,SG,14.8,0.479
2026,33,PG,20.9,0.168
2026,25,PF,14.6,0.301
2026,34,SF,15.7,1
2026,23,SG,14.8,0.327
2026,29,PG,15.1,0.625
2026,20,SF,7.6,0.652
2026,29,SG,14.9,0.853
2026,34,SF,11.2,0.298
2026,23,SF,15.6,0.54
2026,25,PF,29.3,0.333
2026,26,SF,18.5,0.563
2026,22,SF,9.6,0.417
2026,25,SF,46,0.5
2026,23,PF,16.8,0.5
2026,23,SG,17.4,0.281
2026,27,PG,12.9,0.342
2026,29,SG,23.9,0.505
2026,24,PF,18.6,0.313
2026,27,SG,14.1,0.421
2026,23,SG,12.3,0.691
2026,24,SG,7.7,0.167
2026,26,PG,12.8,0.308
2026,30,PG,7.1,0.4
2026,25,SF,17.3,0.547
2026,20,PF,12.7,0.266
2026,28,PG,20.4,0.411
2026,25,PF,16.8,0.413
2026,25,SF,9,0.38
2026,28,SF,10,0.685
2026,33,PF,6.4,0.508
2026,25,PF,50.3,0.667
2026,26,PG,13.7,0.414
2026,22,PG,8.8,0.39
2026,26,SF,12.2,0.565
2026,20,PF,15.3,0.529
2026,25,PF,7.7,0.611
2026,31,C,13.4,0.218
2026,27,SG,12.1,0.538
2026,25,C,16.5,0.421
2026,25,SG,8.6,0.48
2026,22,C,-3.7,0.333
2026,34,C,14.4,0.484
2026,32,SF,12.3,0.82
2026,30,SF,13.7,0.45
2026,40,PG,7.9,0.551
2026,33,SG,14.7,0.31
2026,24,SG,9.4,0.348
2026,21,SF,20.2,0.259
2026,26,PF,1.2,0.786
2026,23,SG,5.9,0.923
2026,22,SF,10.2,0.514
2026,26,SG,8.4,0.467
2026,27,SG,-0.1,0.6
2026,22,SG,13,0.49
2026,26,PG,11.2,0.596
2026,25,PG,16.4,0.385
2026,25,PG,28.8,0.533
2026,27,SF,20.5,0.479
2026,30,PF,13.9,0.361
2026,30,C,22.6,0.383
2026,25,PF,14,0.681
2026,20,SG,10.3,0.379
2026,32,SG,20.4,0.42
2026,31,SF,7.7,0.737
2026,28,PG,17.4,0.578
2026,21,PG,9.2,0.643
2026,23,PF,14.5,0.29
2026,21,C,16.7,0.087
2026,26,C,20.6,0.025
2026,26,PG,15.8,0.522
2026,31,PF,22.1,0.332
2026,22,C,12,0.138
