season,abbreviation,playoffs,x3p,x3p_percent,x3pa,pts
2025,ATL,1,1107,0.358,3089,9691
2025,BOS,1,1457,0.368,3955,9534
2025,BRK,0,1113,0.344,3232,8619
2025,CHI,1,1266,0.367,3447,9660
2025,CHO,0,1065,0.339,3143,8618
2025,CLE,1,1303,0.383,3401,9999
2025,DAL,1,1020,0.364,2801,9364
2025,DEN,1,984,0.376,2619,9902
2025,DET,1,1051,0.362,2901,9471
2025,GSW,1,1264,0.364,3475,9331
2025,HOU,1,1038,0.353,2938,9372
2025,IND,1,1081,0.368,2934,9624
2025,LAC,1,1022,0.373,2738,9256
2025,LAL,1,1092,0.366,2981,9298
2025,MEM,1,1141,0.367,3107,9980
2025,MIA,1,1124,0.367,3060,9069
2025,MIL,1,1161,0.387,3003,9472
2025,MIN,1,1233,0.377,3269,9372
2025,NOP,0,986,0.347,2839,9006
2025,NYK,1,1031,0.369,2794,9494
2025,OKC,1,1192,0.374,3184,9881
2025,ORL,1,921,0.318,2892,8645
2025,PHI,0,1041,0.341,3050,8988
2025,PHO,0,1176,0.378,3112,9317
2025,POR,0,1057,0.342,3095,9093
2025,SAC,1,1032,0.357,2887,9490
2025,SAS,0,1158,0.357,3246,9342
2025,TOR,0,969,0.348,2786,9091
2025,UTA,0,1144,0.35,3267,9175
2025,WAS,0,1075,0.335,3210,8856
2024,ATL,0,1125,0.364,3092,9703
2024,BOS,1,1351,0.388,3482,9887
2024,BRK,0,1089,0.362,3010,9050
2024,CHI,0,941,0.358,2630,9206
2024,CHO,0,989,0.355,2788,8740
2024,CLE,1,1108,0.367,3016,9236
2024,DAL,1,1197,0.369,3242,9664
2024,DEN,1,958,0.374,2560,9418
2024,DET,0,906,0.348,2602,9010
2024,GSW,0,1211,0.38,3191,9657
2024,HOU,0,1043,0.352,2964,9375
2024,IND,1,1082,0.374,2891,10110
2024,LAC,1,1036,0.381,2719,9481
2024,LAL,1,969,0.377,2572,9679
2024,MEM,0,1071,0.346,3097,8677
2024,MIA,1,1022,0.37,2765,9032
2024,MIL,1,1163,0.373,3122,9756
2024,MIN,1,1037,0.387,2681,9264
2024,NOP,1,1023,0.383,2673,9436
2024,NYK,1,1083,0.369,2936,9249
2024,OKC,1,1090,0.389,2805,9847
2024,ORL,1,903,0.352,2568,9058
2024,PHI,1,992,0.363,2733,9397
2024,PHO,1,1020,0.382,2671,9532
2024,POR,0,939,0.345,2723,8722
2024,SAC,0,1178,0.366,3219,9558
2024,SAS,0,1036,0.347,2983,9192
2024,TOR,0,942,0.347,2712,9213
2024,UTA,0,1060,0.354,2993,9484
2024,WAS,0,1015,0.348,2915,9327
2023,ATL,1,882,0.352,2505,9711
2023,BOS,1,1315,0.377,3492,9671
2023,BRK,1,1048,0.378,2771,9295
2023,CHI,0,854,0.361,2367,9276
2023,CHO,0,881,0.33,2669,9098
2023,CLE,1,950,0.367,2589,9205
2023,DAL,0,1246,0.371,3362,9366
2023,DEN,1,969,0.379,2559,9495
2023,DET,0,934,0.351,2659,9045
2023,GSW,1,1363,0.385,3540,9753
2023,HOU,0,856,0.327,2619,9081
2023,IND,0,1112,0.367,3030,9535
2023,LAC,1,1041,0.381,2735,9314
2023,LAL,1,885,0.346,2558,9608
2023,MEM,1,985,0.351,2807,9587
2023,MIA,1,980,0.344,2852,8977
2023,MIL,1,1217,0.368,3306,9589
2023,MIN,1,997,0.365,2731,9494
2023,NOP,0,899,0.364,2468,9378
2023,NYK,1,1037,0.354,2930,9514
2023,OKC,0,995,0.356,2797,9633
2023,ORL,0,883,0.346,2551,9136
2023,PHI,1,1035,0.387,2675,9448
2023,PHO,1,1001,0.374,2674,9319
2023,POR,0,1056,0.365,2893,9299
2023,SAC,1,1128,0.369,3060,9898
2023,SAS,0,911,0.345,2640,9269
2023,TOR,0,880,0.335,2626,9254
2023,UTA,0,1094,0.353,3099,9600
2023,WAS,0,925,0.356,2601,9279
2022,ATL,1,1056,0.374,2821,9343
2022,BOS,1,1085,0.356,3044,9164
2022,BRK,1,940,0.361,2602,9258
2022,CHI,1,872,0.369,2364,9152
2022,CHO,0,1143,0.365,3130,9457
2022,CLE,0,953,0.355,2686,8839
2022,DAL,1,1073,0.35,3063,8858
2022,DEN,1,1039,0.353,2944,9243
2022,DET,0,925,0.326,2838,8596
2022,GSW,1,1176,0.364,3231,9102
2022,HOU,0,1105,0.349,3170,8997
2022,IND,0,997,0.344,2899,9140
2022,LAC,0,1047,0.374,2802,8890
2022,LAL,0,982,0.347,2826,9192
